bps_code,bps_name,province,province_code,admin_type,code_vintage,notes
3210,Majalengka,JAWA BARAT,32,Kabupaten,current,
3211,Sumedang,JAWA BARAT,32,Kabupaten,current,
3212,Indramayu,JAWA BARAT,32,Kabupaten,current,
3213,Subang,JAWA BARAT,32,Kabupaten,current,
3214,Purwakarta,JAWA BARAT,32,Kabupaten,current,
3215,Karawang,JAWA BARAT,32,Kabupaten,current,
3216,Bekasi,JAWA BARAT,32,Kabupaten,current,
3217,Bandung Barat,JAWA BARAT,32,Kabupaten,current,Created 2007 (not in panel)
3218,Pangandaran,JAWA BARAT,32,Kabupaten,current,Created 2012 (not in panel)
3271,Bogor,JAWA BARAT,32,Kota,current,
3272,Sukabumi,JAWA BARAT,32,Kota,current,
3273,Bandung,JAWA BARAT,32,Kota,current,
3274,Cirebon,JAWA BARAT,32,Kota,current,
3275,Bekasi,JAWA BARAT,32,Kota,current,
3276,Depok,JAWA BARAT,32,Kota,current,Created 1999
3277,Cimahi,JAWA BARAT,32,Kota,current,Created 2001
3278,Tasikmalaya,JAWA BARAT,32,Kota,current,Created 2001
3279,Banjar,JAWA BARAT,32,Kota,current,Created 2002
3301,Cilacap,JAWA TENGAH,33,Kabupaten,current,
3302,Banyumas,JAWA TENGAH,33,Kabupaten,current,
3303,Purbalingga,JAWA TENGAH,33,Kabupaten,current,
3304,Banjarnegara,JAWA TENGAH,33,Kabupaten,current,
3305,Kebumen,JAWA TENGAH,33,Kabupaten,current,
3306,Purworejo,JAWA TENGAH,33,Kabupaten,current,
3307,Wonosobo,JAWA TENGAH,33,Kabupaten,current,
3308,Magelang,JAWA TENGAH,33,Kabupaten,current,
3309,Boyolali,JAWA TENGAH,33,Kabupaten,current,
3310,Klaten,JAWA TENGAH,33,Kabupaten,current,
3311,Sukoharjo,JAWA TENGAH,33,Kabupaten,current,
3312,Wonogiri,JAWA TENGAH,33,Kabupaten,current,
3313,Karanganyar,JAWA TENGAH,33,Kabupaten,current,
3314,Sragen,JAWA TENGAH,33,Kabupaten,current,
3315,Grobogan,JAWA TENGAH,33,Kabupaten,current,
3316,Blora,JAWA TENGAH,33,Kabupaten,current,
3317,Rembang,JAWA TENGAH,33,Kabupaten,current,
3318,Pati,JAWA TENGAH,33,Kabupaten,current,
3319,Kudus,JAWA TENGAH,33,Kabupaten,current,
3320,Jepara,JAWA TENGAH,33,Kabupaten,current,
3321,Demak,JAWA TENGAH,33,Kabupaten,current,
3322,Semarang,JAWA TENGAH,33,Kabupaten,current,
3323,Temanggung,JAWA TENGAH,33,Kabupaten,current,
3324,Kendal,JAWA TENGAH,33,Kabupaten,current,
3325,Batang,JAWA TENGAH,33,Kabupaten,current,
3326,Pekalongan,JAWA TENGAH,33,Kabupaten,current,
3327,Pemalang,JAWA TENGAH,33,Kabupaten,current,
3328,Tegal,JAWA TENGAH,33,Kabupaten,current,
3329,Brebes,JAWA TENGAH,33,Kabupaten,current,
3371,Magelang,JAWA TENGAH,33,Kota,current,
3372,Surakarta,JAWA TENGAH,33,Kota,current,
3373,Salatiga,JAWA TENGAH,33,Kota,current,
3374,Semarang,JAWA TENGAH,33,Kota,current,
3375,Pekalongan,JAWA TENGAH,33,Kota,current,
3376,Tegal,JAWA TENGAH,33,Kota,current,
3401,Kulon Progo,DI YOGYAKARTA,34,Kabupaten,current,
3402,Bantul,DI YOGYAKARTA,34,Kabupaten,current,
3403,Gunungkidul,DI YOGYAKARTA,34,Kabupaten,current,BPS Gunungkidul; panel GUNUNG KIDUL
3404,Sleman,DI YOGYAKARTA,34,Kabupaten,current,
3471,Yogyakarta,DI YOGYAKARTA,34,Kota,current,
3501,Pacitan,JAWA TIMUR,35,Kabupaten,current,
3502,Ponorogo,JAWA TIMUR,35,Kabupaten,current,
3503,Trenggalek,JAWA TIMUR,35,Kabupaten,current,
3504,Tulungagung,JAWA TIMUR,35,Kabupaten,current,
3505,Blitar,JAWA TIMUR,35,Kabupaten,current,
3506,Kediri,JAWA TIMUR,35,Kabupaten,current,
3507,Malang,JAWA TIMUR,35,Kabupaten,current,
3508,Lumajang,JAWA TIMUR,35,Kabupaten,current,
3509,Jember,JAWA TIMUR,35,Kabupaten,current,
3510,Banyuwangi,JAWA TIMUR,35,Kabupaten,current,
3511,Bondowoso,JAWA TIMUR,35,Kabupaten,current,
3512,Situbondo,JAWA TIMUR,35,Kabupaten,current,
3513,Probolinggo,JAWA TIMUR,35,Kabupaten,current,
3514,Pasuruan,JAWA TIMUR,35,Kabupaten,current,
3515,Sidoarjo,JAWA TIMUR,35,Kabupaten,current,
3516,Mojokerto,JAWA TIMUR,35,Kabupaten,current,
3517,Jombang,JAWA TIMUR,35,Kabupaten,current,
3518,Nganjuk,JAWA TIMUR,35,Kabupaten,current,
3519,Madiun,JAWA TIMUR,35,Kabupaten,current,
3520,Magetan,JAWA TIMUR,35,Kabupaten,current,
3521,Ngawi,JAWA TIMUR,35,Kabupaten,current,
3522,Bojonegoro,JAWA TIMUR,35,Kabupaten,current,
3523,Tuban,JAWA TIMUR,35,Kabupaten,current,
3524,Lamongan,JAWA TIMUR,35,Kabupaten,current,
3525,Gresik,JAWA TIMUR,35,Kabupaten,current,
3526,Bangkalan,JAWA TIMUR,35,Kabupaten,current,
3527,Sampang,JAWA TIMUR,35,Kabupaten,current,
3528,Pamekasan,JAWA TIMUR,35,Kabupaten,current,
3529,Sumenep,JAWA TIMUR,35,Kabupaten,current,
3571,Kediri,JAWA TIMUR,35,Kota,current,
3572,Blitar,JAWA TIMUR,35,Kota,current,
3573,Malang,JAWA TIMUR,35,Kota,current,
3574,Probolinggo,JAWA TIMUR,35,Kota,current,
3575,Pasuruan,JAWA TIMUR,35,Kota,current,
3576,Mojokerto,JAWA TIMUR,35,Kota,current,
3577,Madiun,JAWA TIMUR,35,Kota,current,
3578,Surabaya,JAWA TIMUR,35,Kota,current,
3579,Batu,JAWA TIMUR,35,Kota,current,Created 2001
3601,Pandeglang,BANTEN,36,Kabupaten,current,Under Jawa Barat (32xx) before 2000
3602,Lebak,BANTEN,36,Kabupaten,current,Under Jawa Barat before 2000
3603,Tangerang,BANTEN,36,Kabupaten,current,Under Jawa Barat before 2000
3604,Serang,BANTEN,36,Kabupaten,current,Under Jawa Barat before 2000
3671,Tangerang,BANTEN,36,Kota,current,Created 1993; under Jawa Barat before 2000
3672,Cilegon,BANTEN,36,Kota,current,Created 1999; under Jawa Barat before 2000
3673,Serang,BANTEN,36,Kota,current,Created 2007
3674,Tangerang Selatan,BANTEN,36,Kota,current,Created 2008 (not in panel)
5101,Jembrana,BALI,51,Kabupaten,current,
5102,Tabanan,BALI,51,Kabupaten,current,
5103,Badung,BALI,51,Kabupaten,current,
5104,Gianyar,BALI,51,Kabupaten,current,
5105,Klungkung,BALI,51,Kabupaten,current,
5106,Bangli,BALI,51,Kabupaten,current,
5107,Karangasem,BALI,51,Kabupaten,current,
5108,Buleleng,BALI,51,Kabupaten,current,
5171,Denpasar,BALI,51,Kota,current,
5201,Lombok Barat,NUSA TENGGARA BARAT,52,Kabupaten,current,
5202,Lombok Tengah,NUSA TENGGARA BARAT,52,Kabupaten,current,
5203,Lombok Timur,NUSA TENGGARA BARAT,52,Kabupaten,current,
5204,Sumbawa,NUSA TENGGARA BARAT,52,Kabupaten,current,
5205,Dompu,NUSA TENGGARA BARAT,52,Kabupaten,current,
5206,Bima,NUSA TENGGARA BARAT,52,Kabupaten,current,
5207,Sumbawa Barat,NUSA TENGGARA BARAT,52,Kabupaten,current,Created 2003 (not in panel)
5208,Lombok Utara,NUSA TENGGARA BARAT,52,Kabupaten,current,Created 2008 (not in panel)
5271,Mataram,NUSA TENGGARA BARAT,52,Kota,current,
5272,Bima,NUSA TENGGARA BARAT,52,Kota,current,Created 2002
5301,Sumba Barat,NUSA TENGGARA TIMUR,53,Kabupaten,current,
5302,Sumba Timur,NUSA TENGGARA TIMUR,53,Kabupaten,current,
5303,Kupang,NUSA TENGGARA TIMUR,53,Kabupaten,current,
5304,Timor Tengah Selatan,NUSA TENGGARA TIMUR,53,Kabupaten,current,
5305,Timor Tengah Utara,NUSA TENGGARA TIMUR,53,Kabupaten,current,
5306,Belu,NUSA TENGGARA TIMUR,53,Kabupaten,current,
5307,Alor,NUSA TENGGARA TIMUR,53,Kabupaten,current,
5308,Lembata,NUSA TENGGARA TIMUR,53,Kabupaten,current,Created 1999
5309,Flores Timur,NUSA TENGGARA TIMUR,53,Kabupaten,current,
5310,Sikka,NUSA TENGGARA TIMUR,53,Kabupaten,current,
5311,Ende,NUSA TENGGARA TIMUR,53,Kabupaten,current,
5312,Ngada,NUSA TENGGARA TIMUR,53,Kabupaten,current,
5313,Manggarai,NUSA TENGGARA TIMUR,53,Kabupaten,current,
5314,Rote Ndao,NUSA TENGGARA TIMUR,53,Kabupaten,current,Created 2002
5315,Manggarai Barat,NUSA TENGGARA TIMUR,53,Kabupaten,current,Created 2003 (not in panel)
5316,Sumba Tengah,NUSA TENGGARA TIMUR,53,Kabupaten,current,Created 2007 (not in panel)
5317,Sumba Barat Daya,NUSA TENGGARA TIMUR,53,Kabupaten,current,Created 2007 (not in panel)
5318,Nagekeo,NUSA TENGGARA TIMUR,53,Kabupaten,current,Created 2007 (not in panel)
5319,Manggarai Timur,NUSA TENGGARA TIMUR,53,Kabupaten,current,Created 2007 (not in panel)
5320,Ngada,NUSA TENGGARA TIMUR,53,Kabupaten,current,duplicate placeholder - see 5312
5371,Kupang,NUSA TENGGARA TIMUR,53,Kota,current,Created 1996
6101,Sambas,KALIMANTAN BARAT,61,Kabupaten,current,
6102,Bengkayang,KALIMANTAN BARAT,61,Kabupaten,current,Created 1999
6103,Landak,KALIMANTAN BARAT,61,Kabupaten,current,Created 1999
6104,Pontianak,KALIMANTAN BARAT,61,Kabupaten,current,Renamed Mempawah 2014
6105,Sanggau,KALIMANTAN BARAT,61,Kabupaten,current,
6106,Ketapang,KALIMANTAN BARAT,61,Kabupaten,current,
6107,Sintang,KALIMANTAN BARAT,61,Kabupaten,current,
6108,Kapuas Hulu,KALIMANTAN BARAT,61,Kabupaten,current,
6109,Sekadau,KALIMANTAN BARAT,61,Kabupaten,current,Created 2003 (not in panel)
6110,Melawi,KALIMANTAN BARAT,61,Kabupaten,current,Created 2003 (not in panel)
6111,Kayong Utara,KALIMANTAN BARAT,61,Kabupaten,current,Created 2007 (not in panel)
6112,Kubu Raya,KALIMANTAN BARAT,61,Kabupaten,current,Created 2007 (not in panel)
6171,Pontianak,KALIMANTAN BARAT,61,Kota,current,
6172,Singkawang,KALIMANTAN BARAT,61,Kota,current,Created 2001
6201,Kotawaringin Barat,KALIMANTAN TENGAH,62,Kabupaten,current,
6202,Kotawaringin Timur,KALIMANTAN TENGAH,62,Kabupaten,current,
6203,Kapuas,KALIMANTAN TENGAH,62,Kabupaten,current,
6204,Barito Selatan,KALIMANTAN TENGAH,62,Kabupaten,current,
6205,Barito Utara,KALIMANTAN TENGAH,62,Kabupaten,current,
6206,Sukamara,KALIMANTAN TENGAH,62,Kabupaten,current,Created 2002
6207,Lamandau,KALIMANTAN TENGAH,62,Kabupaten,current,Created 2002
6208,Seruyan,KALIMANTAN TENGAH,62,Kabupaten,current,Created 2002
6209,Katingan,KALIMANTAN TENGAH,62,Kabupaten,current,Created 2002
6210,Pulang Pisau,KALIMANTAN TENGAH,62,Kabupaten,current,Created 2002
6211,Gunung Mas,KALIMANTAN TENGAH,62,Kabupaten,current,Created 2002
6212,Barito Timur,KALIMANTAN TENGAH,62,Kabupaten,current,Created 2002
6213,Murung Raya,KALIMANTAN TENGAH,62,Kabupaten,current,Created 2002
6271,Palangka Raya,KALIMANTAN TENGAH,62,Kota,current,
6301,Tanah Laut,KALIMANTAN SELATAN,63,Kabupaten,current,
6302,Kotabaru,KALIMANTAN SELATAN,63,Kabupaten,current,
6303,Banjar,KALIMANTAN SELATAN,63,Kabupaten,current,
6304,Barito Kuala,KALIMANTAN SELATAN,63,Kabupaten,current,
6305,Tapin,KALIMANTAN SELATAN,63,Kabupaten,current,
6306,Hulu Sungai Selatan,KALIMANTAN SELATAN,63,Kabupaten,current,
6307,Hulu Sungai Tengah,KALIMANTAN SELATAN,63,Kabupaten,current,
6308,Hulu Sungai Utara,KALIMANTAN SELATAN,63,Kabupaten,current,
6309,Tabalong,KALIMANTAN SELATAN,63,Kabupaten,current,
6310,Tanah Bumbu,KALIMANTAN SELATAN,63,Kabupaten,current,Created 2003
6311,Balangan,KALIMANTAN SELATAN,63,Kabupaten,current,Created 2003
6371,Banjarmasin,KALIMANTAN SELATAN,63,Kota,current,
6372,Banjarbaru,KALIMANTAN SELATAN,63,Kota,current,BPS Banjarbaru; panel BANJAR BARU
6401,Paser,KALIMANTAN TIMUR,64,Kabupaten,current,2000 name PASIR; renamed Paser 2007
6402,Kutai Barat,KALIMANTAN TIMUR,64,Kabupaten,current,Created 1999 from Kutai
6403,Kutai Kartanegara,KALIMANTAN TIMUR,64,Kabupaten,current,2000 name KUTAI; renamed 1999
6404,Kutai Timur,KALIMANTAN TIMUR,64,Kabupaten,current,Created 1999 from Kutai
6405,Berau,KALIMANTAN TIMUR,64,Kabupaten,current,
6406,Malinau,KALIMANTAN TIMUR,64,Kabupaten,current,Created 1999; now Kaltara 65xx
6407,Bulungan,KALIMANTAN TIMUR,64,Kabupaten,current,Now Kaltara 65xx
6408,Nunukan,KALIMANTAN TIMUR,64,Kabupaten,current,Created 1999; now Kaltara 65xx
6409,Penajam Paser Utara,KALIMANTAN TIMUR,64,Kabupaten,current,Created 2002
6410,Tana Tidung,KALIMANTAN TIMUR,64,Kabupaten,current,Created 2007; now Kaltara (not in panel)
6471,Balikpapan,KALIMANTAN TIMUR,64,Kota,current,
6472,Samarinda,KALIMANTAN TIMUR,64,Kota,current,
6473,Tarakan,KALIMANTAN TIMUR,64,Kota,current,Now Kaltara 65xx
6474,Bontang,KALIMANTAN TIMUR,64,Kota,current,Created 1999
6501,Malinau,KALIMANTAN UTARA,65,Kabupaten,current,Was 6406 (Kaltim) before 2012
6502,Bulungan,KALIMANTAN UTARA,65,Kabupaten,current,Was 6407 (Kaltim) before 2012
6503,Tana Tidung,KALIMANTAN UTARA,65,Kabupaten,current,Was 6410 (Kaltim) before 2012 (not in panel)
6504,Nunukan,KALIMANTAN UTARA,65,Kabupaten,current,Was 6408 (Kaltim) before 2012
6571,Tarakan,KALIMANTAN UTARA,65,Kota,current,Was 6473 (Kaltim) before 2012
7101,Bolaang Mongondow,SULAWESI UTARA,71,Kabupaten,current,
7102,Minahasa,SULAWESI UTARA,71,Kabupaten,current,
7103,Kepulauan Sangihe,SULAWESI UTARA,71,Kabupaten,current,2000 name SANGIHE TALAUD (split 2002)
7104,Kepulauan Talaud,SULAWESI UTARA,71,Kabupaten,current,Created 2002 from Sangihe Talaud
7105,Minahasa Selatan,SULAWESI UTARA,71,Kabupaten,current,Created 2003
7106,Minahasa Utara,SULAWESI UTARA,71,Kabupaten,current,Created 2003 (not in panel)
7107,Bolaang Mongondow Utara,SULAWESI UTARA,71,Kabupaten,current,Created 2007 (not in panel)
7108,Siau Tagulandang Biaro,SULAWESI UTARA,71,Kabupaten,current,Created 2007 (not in panel)
7109,Minahasa Tenggara,SULAWESI UTARA,71,Kabupaten,current,Created 2007 (not in panel)
7110,Bolaang Mongondow Selatan,SULAWESI UTARA,71,Kabupaten,current,Created 2008 (not in panel)
7111,Bolaang Mongondow Timur,SULAWESI UTARA,71,Kabupaten,current,Created 2008 (not in panel)
7171,Manado,SULAWESI UTARA,71,Kota,current,
7172,Bitung,SULAWESI UTARA,71,Kota,current,
7173,Tomohon,SULAWESI UTARA,71,Kota,current,Created 2003
7174,Kotamobagu,SULAWESI UTARA,71,Kota,current,panel KOTAMOBAGO (typo); created 2007
7201,Banggai Kepulauan,SULAWESI TENGAH,72,Kabupaten,current,Created 1999
7202,Banggai,SULAWESI TENGAH,72,Kabupaten,current,
7203,Morowali,SULAWESI TENGAH,72,Kabupaten,current,Created 1999
7204,Poso,SULAWESI TENGAH,72,Kabupaten,current,
7205,Donggala,SULAWESI TENGAH,72,Kabupaten,current,
7206,Toli-Toli,SULAWESI TENGAH,72,Kabupaten,current,
7207,Buol,SULAWESI TENGAH,72,Kabupaten,current,Created 1999
